Lebensmittel;Herkunft;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
Artischocke;Nordafrika ;2;2;2;2;8;8;8;8;8;8;2;2
Aubergine;Asien;1;1;1;1;1;3;3;3;3;3;1;1
Avocado ;Südamerika;;;;;;;;;;;;
Brokkoli;Kleinasien;1;1;1;1;1;3;3;3;3;3;1;1
Champignons;Europa;11;11;11;11;11;11;11;11;11;11;11;11
Chinakohl;Polen;8;8;5;5;8;8;8;8;8;8;8;8
Gurke;Spanien;3;3;3;3;8;8;8;8;3;3;3;3
Karotte;Holland ;7;7;7;7;7;9;9;9;9;9;7;7
Kartoffel;Deutschland;12;12;12;12;12;12;12;12;12;12;12;12
Kürbis;Deutschland;10;10;10;5;5;5;5;12;12;12;12;10
Mais ;Chile;1;1;1;1;1;5;5;5;5;5;1;1
Paprika;Niederlande ;3;3;3;3;3;3;8;8;8;8;3;3
Spargel;Österreich;5;5;5;12;12;12;5;5;5;5;5;5
Tomate ;Deutschland ;5;5;5;5;5;12;12;12;12;12;5;5
Zuchini;Europa;8;8;8;8;8;11;11;11;11;11;8;8
