Lebensmittel;Herkunft;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
Ananas;;;;;;;;;;;;;
Apfel;Deutschland;12;12;12;12;10;10;10;12;12;12;12;12
Aprikose;Türkei;5;5;5;5;5;8;8;8;8;5;5;5
Birne;Deutschland;11;11;10;10;10;10;10;12;12;12;12;12
Erdbeere;Nordamerika;1;1;1;1;3;3;3;1;1;1;1;1
Grapefruit;;;;;;;;;;;;;
Heidelbeere;Spanien;2;2;2;5;5;8;8;8;8;8;2;2
Himbeere;Nordasien;1;1;1;1;1;3;3;3;1;1;1;1
Mango;;;;;;;;;;;;;
Pfirsich;Marokko;2;2;2;2;6;6;6;6;6;2;2;2
Pflaume ;Deutschland;2;2;2;2;2;10;10;10;10;10;2;2
Pomelo;;;;;;;;;;;;;
Walnuss;Deutschland ;10;10;10;10;10;10;10;10;10;12;12;12
Wassermelone;Afrika;1;1;1;1;1;1;1;3;3;1;1;1
Zitrone;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
